mt002,,
2014/12/30,,
,,
時刻,活動強度,運動種別
0:00:00,3.8,歩行
0:00:10,3.7,歩行
0:00:20,3.7,歩行
0:00:30,3.7,歩行
0:00:40,3.8,歩行
0:00:50,4.1,歩行
0:01:00,4,歩行
0:01:10,3.6,歩行
0:01:20,3.8,歩行
0:01:30,4.1,歩行
0:01:40,3.9,歩行
0:01:50,3.8,歩行
0:02:00,3.6,歩行
0:02:10,2.6,歩行
0:02:20,2.6,歩行
0:02:30,2.7,歩行
0:02:40,2.6,歩行
0:02:50,2.8,歩行
0:03:00,2.7,歩行
0:03:10,3.4,歩行
0:03:20,3,歩行
0:03:30,2,生活活動
0:03:40,2.3,歩行
0:03:50,2.3,歩行
0:04:00,3.3,歩行
0:04:10,2.2,歩行
0:04:20,3.6,歩行
0:04:30,3.8,歩行
0:04:40,4.1,歩行
0:04:50,4,歩行
0:05:00,3.7,歩行
0:05:10,3.8,歩行
0:05:20,3.8,歩行
0:05:30,3.5,歩行
0:05:40,3.5,歩行
0:05:50,4.6,歩行
0:06:00,4.4,歩行
0:06:10,3.5,歩行
0:06:20,3.7,歩行
0:06:30,3.5,歩行
0:06:40,3.6,歩行
0:06:50,3.1,歩行
0:07:00,3.6,歩行
0:07:10,3.4,歩行
0:07:20,3.5,歩行
0:07:30,3.3,歩行
0:07:40,3.3,歩行
0:07:50,3.7,歩行
0:08:00,3.6,歩行
0:08:10,4,歩行
0:08:20,4.2,歩行
0:08:30,3.8,歩行
0:08:40,3.4,歩行
0:08:50,3.5,歩行
0:09:00,3.8,歩行
0:09:10,3.5,歩行
0:09:20,2.8,歩行
0:09:30,3,歩行
0:09:40,3.3,歩行
0:09:50,3.6,歩行
0:10:00,3.5,歩行
0:10:10,2.4,歩行
0:10:20,4.2,生活活動
0:10:30,3.2,生活活動
0:10:40,1.8,生活活動
0:10:50,1.9,歩行
0:11:00,2.1,歩行
0:11:10,2.4,歩行
0:11:20,2.5,生活活動
0:11:30,1.4,生活活動
0:11:40,2.1,生活活動
0:11:50,2.3,生活活動
0:12:00,2.5,歩行
0:12:10,2.2,歩行
0:12:20,3.3,生活活動
0:12:30,2.7,生活活動
0:12:40,2.3,生活活動
0:12:50,3.1,生活活動
0:13:00,2.4,生活活動
0:13:10,2,生活活動
0:13:20,1.8,生活活動
0:13:30,2.7,生活活動
0:13:40,1.5,生活活動
0:13:50,1.8,生活活動
0:14:00,2.3,歩行
0:14:10,3.9,生活活動
0:14:20,2.2,生活活動
0:14:30,1.4,生活活動
0:14:40,2.1,生活活動
0:14:50,2.2,歩行
0:15:00,2.8,生活活動
0:15:10,2.5,生活活動
0:15:20,2,生活活動
0:15:30,2,生活活動
0:15:40,2.2,生活活動
0:15:50,1.6,生活活動
0:16:00,1.7,生活活動
0:16:10,1.6,生活活動
0:16:20,3.1,生活活動
0:16:30,3.3,生活活動
0:16:40,1.6,生活活動
0:16:50,1.7,生活活動
0:17:00,1.2,生活活動
0:17:10,1,生活活動
0:17:20,3.4,生活活動
0:17:30,3.4,生活活動
0:17:40,3.4,生活活動
0:17:50,1.8,生活活動
0:18:00,2.3,生活活動
0:18:10,3.1,生活活動
0:18:20,2.3,歩行
0:18:30,3,生活活動
0:18:40,3.7,生活活動
0:18:50,3,生活活動
0:19:00,2,生活活動
0:19:10,2.2,生活活動
0:19:20,2,生活活動
0:19:30,2.8,生活活動
0:19:40,1.3,生活活動
0:19:50,1.2,生活活動
0:20:00,1.4,生活活動
0:20:10,2.2,歩行
0:20:20,1.4,生活活動
0:20:30,4.1,生活活動
0:20:40,2.2,生活活動
0:20:50,1,生活活動
0:21:00,1.5,生活活動
0:21:10,1.1,生活活動
0:21:20,1,生活活動
0:21:30,1.1,生活活動
0:21:40,1.5,生活活動
0:21:50,1.1,生活活動
0:22:00,2.2,生活活動
0:22:10,2.7,生活活動
